,Member No_,Total_Lifetime_Spending,Correct_Category_Member,Num_of_Win,Num_of_Drop,Number_of_purchases,Discount_code_usage_count,Avg_Days_Between_Transactions,Gender,Age_Group,Store_No.,Purchase_Type,Customer_Type,churn
2949,909217096,31448000,Silver,1,0,14,1,30.5,Male,45-54 Years,HCM,For Self,Individual,0
2950,909217212,195676800,Bronze,2,1,25,3,43.84615385,Female,Unknown,ONLINE,Unknown,Individual,0
2952,909220289,60458000,Gold,2,0,11,17,33.0,Female,25-34 Years,HCM,For Self,Individual,0
2953,909232828,39820000,Silver,1,0,5,0,287.4,Female,35-44 Years,HCM,For Self,Individual,1
2954,909252558,92307500,Gold,2,0,18,45,28.88888889,Female,18-24 Years,HCM,For Self,Individual,0
2955,909252876,41193500,Silver,1,0,4,0,91.0,Female,18-24 Years,HCM,For Self,Individual,1
2956,909256080,25044000,Silver,1,0,2,10,1.0,Female,25-34 Years,HCM,For Self,Individual,1
2957,909322267,25300000,Silver,1,0,2,0,2.0,Female,25-34 Years,HCM,For Self,Individual,1
2958,909322495,32068000,Silver,1,0,3,10,120.3333333,Female,25-34 Years,HCM,For Self,Individual,0
2959,909339317,20610000,Silver,1,0,2,4,89.0,Male,Unknown,HCM,For Self,Individual,1
2960,909366868,20534000,Silver,1,0,4,0,4.0,Female,25-34 Years,HCM,For Self,Company,1
2961,909408737,93690000,Gold,2,0,6,18,47.16666667,Female,25-34 Years,HCM,For Self,Individual,1
2962,909424222,31896000,Silver,1,0,11,4,105.3636364,Female,18-24 Years,HCM,For Self,Individual,0
2963,909443838,40531000,Silver,1,0,4,3,144.75,Female,18-24 Years,HCM,For Self,Individual,0
2964,909480018,75891500,Silver,2,1,6,0,141.6666667,Female,35-44 Years,HCM,For Self,Individual,1
2965,909483238,20350000,Silver,1,0,2,0,118.5,Female,25-34 Years,HCM,For Self,Individual,0
2966,909547023,53415000,Gold,2,0,13,2,10.76923077,Female,25-34 Years,ONLINE,For Self,Individual,0
2967,909558899,27800000,Silver,1,0,2,0,69.0,Female,45-54 Years,HCM,For Self,Individual,0
2968,909580800,23477000,Silver,1,0,3,0,13.33333333,Male,Unknown,HCM,Gift to Others,Individual,1
2969,909585179,31865000,Silver,1,0,5,0,72.8,Female,25-34 Years,HCM,For Self,Individual,1
2970,909599733,22890000,Silver,1,0,2,0,11.0,Female,Unknown,HCM,For Self,Individual,1
2971,909600503,75029400,Gold,2,0,14,0,27.64285714,Female,25-34 Years,HCM,For Self,Individual,1
2972,909609769,35798000,Silver,1,0,2,28,60.0,Female,35-44 Years,HCM,For Self,Individual,1
2973,909649107,99362000,Gold,2,0,10,22,44.5,Female,25-34 Years,HCM,For Self,Individual,0
2974,909651560,20066000,Silver,1,0,3,0,10.66666667,Female,Unknown,HCM,For Self,Individual,1
2975,909652084,20030000,Silver,1,0,3,0,4.333333333,Female,Unknown,HN,For Self,Individual,1
2976,909659050,25953000,Silver,1,0,6,0,81.0,Female,25-34 Years,HCM,For Self,Individual,1
2977,909672657,25063000,Silver,1,0,3,12,37.33333333,Female,35-44 Years,HCM,For Self,Individual,1
2978,909677633,72277000,Silver,2,1,8,7,267.625,Female,35-44 Years,HCM,For Self,Individual,0
2979,909698269,58744000,Gold,1,0,2,44,25.0,Male,45-54 Years,HCM,Gift to Others,Company,1
2980,909711097,20163000,Silver,1,0,3,0,36.66666667,Female,Unknown,HCM,For Self,Individual,1
2981,909714769,50977000,Gold,2,0,4,15,78.5,Female,35-44 Years,HCM,For Self,Individual,0
2982,909766686,21916000,Silver,1,0,2,0,4.5,Female,Unknown,HCM,For Self,Individual,1
2983,909769070,25647000,Silver,1,0,4,9,32.25,Female,35-44 Years,HCM,Gift to Others,Individual,1
2984,909775353,22720000,Silver,1,0,2,0,1.5,Female,25-34 Years,HCM,For Self,Individual,1
2985,909790686,26780000,Silver,1,0,4,0,26.25,Female,18-24 Years,HCM,For Self,Individual,1
2986,909798996,35152000,Silver,1,0,2,23,5.333333333,Female,25-34 Years,HCM,For Self,Individual,1
2987,909839666,25610000,Silver,1,0,2,0,55.5,Female,Unknown,HCM,For Self,Individual,1
2988,909868699,42607000,Silver,1,0,8,1,95.77777778,Female,Unknown,HCM,For Self,Individual,1
2989,909881993,30272000,Silver,1,0,7,10,30.0,Female,Unknown,HN,For Self,Individual,1
2990,909892600,18910000,Silver,1,0,2,0,17.0,Female,45-54 Years,HCM,For Self,Individual,1
2991,909921896,87855000,Gold,2,0,8,0,45.75,Male,25-34 Years,HN,Gift to Others,Individual,1
2992,909932815,41282000,Silver,1,0,7,23,38.0,Female,25-34 Years,HCM,For Self,Individual,1
2993,909936793,76971000,Gold,2,0,13,21,35.61538462,Male,25-34 Years,ONLINE,Gift to Others,Individual,0
2994,909947096,40080000,Silver,1,0,3,3,18.33333333,Female,25-34 Years,HCM,For Self,Individual,0
2995,909947366,22908000,Silver,1,0,2,1,3.0,Female,35-44 Years,HCM,For Self,Individual,1
2996,909950116,23154000,Silver,1,0,3,10,60.66666667,Female,25-34 Years,HCM,For Self,Individual,1
2997,909955757,26880000,Silver,1,0,2,4,166.0,Female,35-44 Years,HCM,For Self,Individual,0
2998,909966185,30505000,Silver,1,0,4,0,113.75,Female,35-44 Years,HN,For Self,Individual,1
2999,909971985,22157000,Silver,1,0,7,0,86.0,Female,25-34 Years,HCM,For Self,Individual,1
3000,911012391,44440000,Silver,1,0,4,9,31.5,Female,25-34 Years,HN,For Self,Individual,1
3001,911070584,25579000,Silver,1,0,4,7,25.0,Female,35-44 Years,HN,For Self,Individual,1
3002,911102085,72001000,Gold,2,0,6,15,31.83333333,Female,18-24 Years,HN,For Self,Individual,1
3003,911111802,38200000,Silver,1,0,5,5,198.8,Female,18-24 Years,HN,For Self,Individual,0
3004,911113294,22397000,Silver,1,0,4,19,29.5,Female,25-34 Years,HCM,For Self,Individual,1
3005,911119986,57768500,Gold,2,0,8,9,49.125,Female,25-34 Years,HN,For Self,Individual,0
